id,levelIndex,MapId,SavingPoint,Reward,sReward,SPReward,continuePrice,BackId,
1271,71,Block271,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1269,
1272,72,Block272,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1269,
1273,73,Block273,0,"[[1002,500],[30000,5]]","[[1002,20],[1003,3]]",,35,1269,
1274,74,Block274,2,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1269,
1275,75,Block275,1,"[[1002,500],[42000,2]]","[[1002,20],[1003,3]]","[[84013,5],[1001,30]]",35,1269,
1276,76,Block276,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1274,
1277,77,Block277,0,"[[1002,500],[1001,10]]","[[1002,20],[1003,3]]",,35,1274,
1278,78,Block278,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1274,
1279,79,Block279,2,"[[1002,500],[16000,2]]","[[1002,20],[1003,3]]",,35,1274,
1280,80,Block280,1,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]","[[84013,5],[1003,180]]",35,1274,
1281,81,Block281,0,"[[1002,500],[1003,15]]","[[1002,20],[1003,3]]",,35,1279,
1282,82,Block282,0,"[[1002,500],[1003,15]]","[[1002,20],[1003,3]]",,35,1279,
1283,83,Block283,2,"[[1002,500],[1003,15]]","[[1002,20],[1003,3]]",,35,1279,
1284,84,Block284,0,"[[1002,500],[1003,15]]","[[1002,20],[1003,3]]",,35,1279,
1285,85,Block285,1,"[[1002,500],[6405,1]]","[[1002,20],[1003,3]]","[[84013,5],[1003,200]]",35,1279,
1286,86,Block286,0,"[[1002,500],[30000,7]]","[[1002,20],[1003,3]]",,35,1284,
1287,87,Block287,0,"[[1002,500],[1003,20]]","[[1002,20],[1003,3]]",,35,1284,
1288,88,Block288,0,"[[1002,500],[1003,20]]","[[1002,20],[1003,3]]",,35,1284,
1289,89,Block289,2,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1284,
1290,90,Block290,1,"[[1002,500],[1003,20]]","[[1002,20],[1003,3]]","[[84013,8],[1003,300]]",35,1284,
1291,91,Block291,0,"[[1002,500],[30000,7]]","[[1002,20],[1003,3]]",,35,1289,
1292,92,Block292,0,"[[1002,500],[1003,20]]","[[1002,20],[1003,3]]",,35,1289,
1293,93,Block293,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1289,
1294,94,Block294,2,"[[1002,500],[1003,20]]","[[1002,20],[1003,3]]",,35,1289,
1295,95,Block295,1,"[[1002,500],[1001,15]]","[[1002,20],[1003,3]]","[[84013,8],[1003,400]]",35,1289,
1296,96,Block296,0,"[[1002,500],[1003,20]]","[[1002,20],[1003,3]]",,35,1294,
1297,97,Block297,0,"[[1002,500],[1003,25]]","[[1002,20],[1003,3]]",,35,1294,
1298,98,Block298,0,"[[1002,500],[1003,30]]","[[1002,20],[1003,3]]",,35,1294,
1299,99,Block299,2,"[[1002,500],[1001,20]]","[[1002,20],[1003,3]]",,35,1294,
1300,100,Block300,1,"[[1002,500],[1003,100]]","[[1002,20],[1003,3]]","[[84013,10],[1001,100]]",35,1294,
1301,1,Block1,0,"[[1002,500],[6404,1],[6406,1]]","[[1002,20],[1003,3]]",,15,,
1302,2,Block202,0,"[[1002,500],[6405,1]]","[[1002,20],[1003,3]]",,15,,
1303,3,Block203,1,"[[1002,500],[6404,1],[6406,1]]","[[1002,20],[1003,3]]","[[84003,2],[1001,5]]",15,,
1304,4,Block4,0,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]",,15,1302,
1305,5,Block205,0,"[[1002,500],[6406,1]]","[[1002,20],[1003,3]]",,15,1302,
1306,6,Block206,1,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]","[[84003,2],[1003,20]]",15,1302,
1307,7,Block7,0,"[[1002,500],[1003,5]]","[[1002,20],[1003,3]]",,15,1305,
1308,8,Block208,0,"[[1002,500],[6405,1]]","[[1002,20],[1003,3]]",,15,1305,
1309,9,Block209,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1305,
1310,10,Block210,1,"[[1002,500],[1003,5]]","[[1002,20],[1003,3]]","[[84003,3],[1001,5]]",15,1305,
1311,11,Block211,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1309,
1312,12,Block212,0,"[[1002,500],[1003,5]]","[[1002,20],[1003,3]]",,15,1309,
1313,13,Block213,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1309,
1314,14,Block214,2,"[[1002,500],[1003,5]]","[[1002,20],[1003,3]]",,15,1309,
1315,15,Block215,1,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]","[[84003,3],[1003,30]]",15,1309,
1316,16,Block16,0,"[[1002,500],[1003,5]]","[[1002,20],[1003,3]]",,15,1314,
1317,17,Block17,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1314,
1318,18,Block218,0,"[[1002,500],[1003,5]]","[[1002,20],[1003,3]]",,15,1314,
1319,19,Block219,2,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1314,
1320,20,Block220,1,"[[1002,500],[1003,5]]","[[1002,20],[1003,3]]","[[84003,3],[1001,10]]",15,1314,
1321,21,Block221,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1319,
1322,22,Block222,0,"[[1002,500],[42000,1]]","[[1002,20],[1003,3]]",,20,1319,
1323,23,Block223,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1319,
1324,24,Block224,2,"[[1002,500],[1003,5]]","[[1002,20],[1003,3]]",,20,1319,
1325,25,Block225,1,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]","[[84003,4],[1003,40]]",20,1319,
1326,26,Block226,0,"[[1002,500],[16000,1]]","[[1002,20],[1003,3]]",,20,1324,
1327,27,Block227,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1324,
1328,28,Block228,2,"[[1002,500],[1003,5]]","[[1002,20],[1003,3]]",,20,1324,
1329,29,Block229,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1324,
1330,30,Block230,1,"[[1002,500],[1003,5]]","[[1002,20],[1003,3]]","[[84003,4],[1001,10]]",20,1324,
1331,31,Block231,0,"[[1002,500],[42000,1]]","[[1002,20],[1003,3]]",,20,1329,
1332,32,Block232,0,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]",,20,1329,
1333,33,Block233,2,"[[1002,500],[1001,5]]","[[1002,20],[1003,3]]",,20,1329,
1334,34,Block234,0,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]",,20,1329,
1335,35,Block235,1,"[[1002,500],[16000,1]]","[[1002,20],[1003,3]]","[[84003,4],[1003,50]]",20,1329,
1336,36,Block236,0,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]",,20,1334,
1337,37,Block237,0,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]",,20,1334,
1338,38,Block238,0,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]",,20,1334,
1339,39,Block239,2,"[[1002,500],[30000,3]]","[[1002,20],[1003,3]]",,20,1334,
1340,40,Block240,1,"[[1002,500],[6405,1]]","[[1002,20],[1003,3]]","[[84003,4],[1001,15]]",20,1334,
1341,41,Block241,0,"[[1002,500],[1001,5]]","[[1002,20],[1003,3]]",,30,1339,
1342,42,Block242,0,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]",,30,1339,
1343,43,Block243,2,"[[1002,500],[42000,1]]","[[1002,20],[1003,3]]",,30,1339,
1344,44,Block244,0,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]",,30,1339,
1345,45,Block245,1,"[[1002,500],[1001,5]]","[[1002,20],[1003,3]]","[[84003,5],[1003,60]]",30,1339,
1346,46,Block246,0,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]",,30,1344,
1347,47,Block247,0,"[[1002,500],[16000,1]]","[[1002,20],[1003,3]]",,30,1344,
1348,48,Block248,0,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]",,30,1344,
1349,49,Block249,2,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]",,30,1344,
1350,50,Block50,1,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]","[[84003,5],[1003,80]]",30,1344,
1351,51,Block251,0,"[[1002,500],[30000,3]]","[[1002,20],[1003,3]]",,30,1349,
1352,52,Block252,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,30,1349,
1353,53,Block253,2,"[[1002,500],[42000,1]]","[[1002,20],[1003,3]]",,30,1349,
1354,54,Block254,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,30,1349,
1355,55,Block255,1,"[[1002,500],[1001,5]]","[[1002,20],[1003,3]]","[[84003,5],[1001,20]]",30,1349,
1356,56,Block256,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,30,1354,
1357,57,Block257,0,"[[1002,500],[16000,1]]","[[1002,20],[1003,3]]",,30,1354,
1358,58,Block258,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,30,1354,
1359,59,Block259,2,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,30,1354,
1360,60,Block260,1,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]","[[84003,5],[1003,100]]",30,1354,
1361,61,Block261,0,"[[1002,500],[30000,5]]","[[1002,20],[1003,3]]",,35,1359,
1362,62,Block262,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1359,
1363,63,Block263,2,"[[1002,500],[1001,8]]","[[1002,20],[1003,3]]",,35,1359,
1364,64,Block264,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1359,
1365,65,Block265,1,"[[1002,500],[42000,1]]","[[1002,20],[1003,3]]","[[84003,5],[1003,120]]",35,1359,
1366,66,Block266,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1364,
1367,67,Block267,0,"[[1002,500],[1001,8]]","[[1002,20],[1003,3]]",,35,1364,
1368,68,Block268,2,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1364,
1369,69,Block269,0,"[[1002,500],[16000,1]]","[[1002,20],[1003,3]]",,35,1364,
1370,70,Block270,1,"[[1002,500],[6405,1]]","[[1002,20],[1003,3]]","[[84003,5],[1003,150]]",35,1364,
1371,71,Block271,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1369,
1372,72,Block272,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1369,
1373,73,Block273,0,"[[1002,500],[30000,5]]","[[1002,20],[1003,3]]",,35,1369,
1374,74,Block274,2,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1369,
1375,75,Block275,1,"[[1002,500],[42000,2]]","[[1002,20],[1003,3]]","[[84003,5],[1001,30]]",35,1369,
1376,76,Block276,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1374,
1377,77,Block277,0,"[[1002,500],[1001,10]]","[[1002,20],[1003,3]]",,35,1374,
1378,78,Block278,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1374,
1379,79,Block279,2,"[[1002,500],[16000,2]]","[[1002,20],[1003,3]]",,35,1374,
1380,80,Block280,1,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]","[[84003,5],[1003,180]]",35,1374,
1381,81,Block281,0,"[[1002,500],[1003,15]]","[[1002,20],[1003,3]]",,35,1379,
1382,82,Block282,0,"[[1002,500],[1003,15]]","[[1002,20],[1003,3]]",,35,1379,
1383,83,Block283,2,"[[1002,500],[1003,15]]","[[1002,20],[1003,3]]",,35,1379,
1384,84,Block284,0,"[[1002,500],[1003,15]]","[[1002,20],[1003,3]]",,35,1379,
1385,85,Block285,1,"[[1002,500],[6405,1]]","[[1002,20],[1003,3]]","[[84003,5],[1003,200]]",35,1379,
1386,86,Block286,0,"[[1002,500],[30000,7]]","[[1002,20],[1003,3]]",,35,1384,
1387,87,Block287,0,"[[1002,500],[1003,20]]","[[1002,20],[1003,3]]",,35,1384,
1388,88,Block288,0,"[[1002,500],[1003,20]]","[[1002,20],[1003,3]]",,35,1384,
1389,89,Block289,2,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1384,
1390,90,Block290,1,"[[1002,500],[1003,20]]","[[1002,20],[1003,3]]","[[84003,8],[1003,300]]",35,1384,
1391,91,Block291,0,"[[1002,500],[30000,7]]","[[1002,20],[1003,3]]",,35,1389,
1392,92,Block292,0,"[[1002,500],[1003,20]]","[[1002,20],[1003,3]]",,35,1389,
1393,93,Block293,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1389,
1394,94,Block294,2,"[[1002,500],[1003,20]]","[[1002,20],[1003,3]]",,35,1389,
1395,95,Block295,1,"[[1002,500],[1001,15]]","[[1002,20],[1003,3]]","[[84003,8],[1003,400]]",35,1389,
1396,96,Block296,0,"[[1002,500],[1003,20]]","[[1002,20],[1003,3]]",,35,1394,
1397,97,Block297,0,"[[1002,500],[1003,25]]","[[1002,20],[1003,3]]",,35,1394,
1398,98,Block298,0,"[[1002,500],[1003,30]]","[[1002,20],[1003,3]]",,35,1394,
1399,99,Block299,2,"[[1002,500],[1001,20]]","[[1002,20],[1003,3]]",,35,1394,
1400,100,Block300,1,"[[1002,500],[1003,100]]","[[1002,20],[1003,3]]","[[84003,10],[1001,100]]",35,1394,
