id,shopgroupID,ActivityID,ActivityType,type,reward1,reward2,reward3,reward4,reward5,reward6,shopID,coin,progressreward,MissionId,
1140,302,141,1,1,"[[1003,40]]","[[1003,40]]","[[1003,70]]","[[1002,5000]]","[[42000,4]]","[[16000,4]]",[],"[[1,30],[2,70],[3,95]]","[[6,[1003,95],[1001,10],[42000,4]]]",,
1141,303,141,1,1,"[[1003,80]]","[[42000,4]]","[[16000,4]]","[[1003,95]]","[[1002,8000]]","[[1003,115]]",[],"[[1,60],[4,95],[6,105]]","[[6,[1003,135],[11001,1],[60012,1]]]",,
1142,304,141,1,1,"[[1003,115]]","[[42000,5]]","[[16000,5]]","[[1003,155]]","[[1002,10000]]","[[1003,175]]",[],"[[1,95],[4,120],[6,145]]","[[6,[1003,230],[11001,1]]]",,
1143,305,141,1,1,"[[1003,115]]","[[1002,15000]]","[[1003,135]]","[[1003,175]]","[[42000,5]]","[[1003,230]]",[],"[[1,105],[3,120],[4,130],[6,145]]","[[6,[1003,265],[1001,30],[60015,1]]]",,
1144,100,140,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,630],[1001,10]]","[[1003,50]]","[[1003,50]]","[[1003,780],[1001,20]]","[[3,1809],[6,1800]]",[],[],,
1145,101,140,1,2,"[[1003,100],[13001,1]]","[[1003,100]]","[[1003,1000],[1001,30]]","[[1003,100],[13001,2]]","[[1003,130]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1146,102,140,1,2,"[[1003,130],[1002,5000]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,50],[11001,1]]","[[1003,150]]","[[1003,150],[42000,2]]","[[1003,2300],[1001,60],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1147,103,140,1,2,"[[1003,200],[1002,10000]]","[[1003,200],[30000,20]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]",[],"[[3,1805]]",[],[],,
1148,104,140,1,2,[],[],[],[],[],[],[],[],[],,
1149,105,140,1,2,[],[],[],[],[],[],[],[],[],,
1150,200,140,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1000],[1001,30]]","[[1003,100],[13001,2]]","[[1003,130]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1151,201,140,1,2,"[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,50],[11001,1]]","[[1003,150]]","[[1003,150],[42000,2]]","[[1003,2300],[1001,60],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1152,202,140,1,2,"[[1003,200],[1002,10000]]","[[1003,200],[30000,10]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3000],[1001,100],[11001,4]]","[[3,1805],[6,1806]]",[],[],,
1153,203,140,1,2,"[[1003,300],[1002,20000]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]",[],"[[3,1807]]",[],[],,
1154,204,140,1,2,[],[],[],[],[],[],[],[],[],,
1155,205,140,1,2,[],[],[],[],[],[],[],[],[],,
1156,300,140,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1500],[1001,40]]","[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,50],[11001,1]]","[[3,1802],[6,1811]]",[],[],,
1157,301,140,1,2,"[[1003,150]]","[[1003,150],[42000,2]]","[[1003,2300],[1001,60],[11001,2]]","[[1003,200],[1002,10000]]","[[1003,200],[30000,10]]","[[1003,2650],[1001,80],[11001,3]]","[[3,1812],[6,1805]]",[],[],,
1158,302,140,1,2,"[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3000],[1001,100],[11001,4]]","[[1003,300],[1002,20000]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[3,1806],[6,1807]]",[],[],,
1159,303,140,1,2,"[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]","[[1003,4000],[1001,150],[11001,5]]","[[1003,400],[1002,30000]]","[[1003,400],[11001,1]]",[],"[[3,1808]]",[],[],,
1160,304,140,1,2,[],[],[],[],[],[],[],[],[],,
1161,305,140,1,2,[],[],[],[],[],[],[],[],[],,
1162,100,133,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,600],[1001,10]]","[[60012,1]]","[[1003,100]]","[[1003,830],[1001,15]]","[[3,1809],[6,1800]]",[],[],,
1163,101,133,1,2,"[[60012,1]]","[[1003,120]]","[[1003,1050],[1001,20]]","[[60013,1]]","[[1003,150]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1164,102,133,1,2,"[[1003,130],[1002,5000]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1165,103,133,1,2,"[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]",[],"[[3,1805]]",[],[],,
1166,104,133,1,2,[],[],[],[],[],[],[],[],[],,
1167,105,133,1,2,[],[],[],[],[],[],[],[],[],,
1168,200,133,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1050],[1001,20]]","[[60013,1]]","[[1003,150]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1169,201,133,1,2,"[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1170,202,133,1,2,"[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3150],[1001,90],[11001,4]]","[[3,1805],[6,1806]]",[],[],,
1171,203,133,1,2,"[[60015,1]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]",[],"[[3,1807]]",[],[],,
1172,204,133,1,2,[],[],[],[],[],[],[],[],[],,
1173,205,133,1,2,[],[],[],[],[],[],[],[],[],,
1174,300,133,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1500],[1001,40]]","[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[3,1802],[6,1811]]",[],[],,
1175,301,133,1,2,"[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[3,1812],[6,1805]]",[],[],,
1176,302,133,1,2,"[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3150],[1001,90],[11001,4]]","[[60015,1]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[3,1806],[6,1807]]",[],[],,
1177,303,133,1,2,"[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]","[[1003,4000],[1001,150],[11001,5]]","[[1003,400],[1002,30000]]","[[1003,400],[11001,1]]",[],"[[3,1808]]",[],[],,
1178,304,133,1,2,[],[],[],[],[],[],[],[],[],,
1179,305,133,1,2,[],[],[],[],[],[],[],[],[],,
1180,100,141,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,600],[1001,10]]","[[60012,1]]","[[1003,100]]","[[1003,830],[1001,15]]","[[3,1809],[6,1800]]",[],[],,
1181,101,141,1,2,"[[60012,1]]","[[1003,120]]","[[1003,1050],[1001,20]]","[[60013,1]]","[[1003,150]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1182,102,141,1,2,"[[1003,130],[1002,5000]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1183,103,141,1,2,"[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]",[],"[[3,1805]]",[],[],,
1184,104,141,1,2,[],[],[],[],[],[],[],[],[],,
1185,105,141,1,2,[],[],[],[],[],[],[],[],[],,
1186,200,141,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1050],[1001,20]]","[[60013,1]]","[[1003,150]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1187,201,141,1,2,"[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1188,202,141,1,2,"[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3150],[1001,90],[11001,4]]","[[3,1805],[6,1806]]",[],[],,
1189,203,141,1,2,"[[60015,1]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]",[],"[[3,1807]]",[],[],,
1190,204,141,1,2,[],[],[],[],[],[],[],[],[],,
1191,205,141,1,2,[],[],[],[],[],[],[],[],[],,
1192,300,141,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1500],[1001,40]]","[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[3,1802],[6,1811]]",[],[],,
1193,301,141,1,2,"[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[3,1812],[6,1805]]",[],[],,
1194,302,141,1,2,"[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3150],[1001,90],[11001,4]]","[[60015,1]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[3,1806],[6,1807]]",[],[],,
1195,303,141,1,2,"[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]","[[1003,4000],[1001,150],[11001,5]]","[[1003,400],[1002,30000]]","[[1003,400],[11001,1]]",[],"[[3,1808]]",[],[],,
1196,304,141,1,2,[],[],[],[],[],[],[],[],[],,
1197,305,141,1,2,[],[],[],[],[],[],[],[],[],,
1198,100,132,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,600],[1001,10]]","[[60012,1]]","[[1003,100]]","[[1003,830],[1001,15]]","[[3,1809],[6,1800]]",[],[],,
1199,101,132,1,2,"[[60012,1]]","[[1003,120]]","[[1003,1050],[1001,20]]","[[60013,1]]","[[1003,150]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1200,102,132,1,2,"[[1003,130],[1002,5000]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1201,103,132,1,2,"[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]",[],"[[3,1805]]",[],[],,
1202,104,132,1,2,[],[],[],[],[],[],[],[],[],,
1203,105,132,1,2,[],[],[],[],[],[],[],[],[],,
1204,200,132,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1050],[1001,20]]","[[60013,1]]","[[1003,150]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1205,201,132,1,2,"[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1206,202,132,1,2,"[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3150],[1001,90],[11001,4]]","[[3,1805],[6,1806]]",[],[],,
1207,203,132,1,2,"[[60015,1]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]",[],"[[3,1807]]",[],[],,
1208,204,132,1,2,[],[],[],[],[],[],[],[],[],,
1209,205,132,1,2,[],[],[],[],[],[],[],[],[],,
1210,300,132,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1500],[1001,40]]","[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[3,1802],[6,1811]]",[],[],,
1211,301,132,1,2,"[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[3,1812],[6,1805]]",[],[],,
1212,302,132,1,2,"[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3150],[1001,90],[11001,4]]","[[60015,1]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[3,1806],[6,1807]]",[],[],,
1213,303,132,1,2,"[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]","[[1003,4000],[1001,150],[11001,5]]","[[1003,400],[1002,30000]]","[[1003,400],[11001,1]]",[],"[[3,1808]]",[],[],,
1214,304,132,1,2,[],[],[],[],[],[],[],[],[],,
1215,305,132,1,2,[],[],[],[],[],[],[],[],[],,
1216,100,144,1,1,"[[1003,10]]","[[42000,2]]","[[16000,2]]","[[1003,10]]","[[1003,25]]","[[1003,30]]",[],"[[1,10],[4,10],[5,20],[6,25]]","[[6,[1003,40],[1001,5],[16000,2]]]",Eventmission2405_000SurvivalPioneers,
1217,101,144,1,1,"[[1003,20]]","[[1002,3000]]","[[42000,3]]","[[16000,3]]","[[1003,40]]","[[1003,50]]",[],"[[1,30],[5,40],[6,65]]","[[6,[1003,55],[1001,10],[1002,5000]]]",,
1218,102,144,1,1,"[[1003,40]]","[[1003,40]]","[[1003,70]]","[[1002,5000]]","[[42000,4]]","[[16000,4]]",[],"[[1,30],[2,70],[3,95]]","[[6,[1003,95],[1001,10],[42000,4]]]",,
1219,103,144,1,1,"[[1003,80]]","[[42000,4]]","[[16000,4]]","[[1003,95]]","[[1002,8000]]","[[1003,115]]",[],"[[1,60],[4,95],[6,105]]","[[6,[1003,135],[11001,1],[60012,1]]]",,
1220,104,144,1,1,"[[1003,115]]","[[42000,5]]","[[16000,5]]","[[1003,155]]","[[1002,10000]]","[[1003,175]]",[],"[[1,95],[4,120],[6,145]]","[[6,[1003,230],[11001,1]]]",,
1221,105,144,1,1,"[[1003,115]]","[[1002,15000]]","[[1003,135]]","[[1003,175]]","[[42000,5]]","[[1003,230]]",[],"[[1,105],[3,120],[4,130],[6,145]]","[[6,[1003,265],[1001,30],[60015,1]]]",,
1222,200,144,1,1,"[[1003,10]]","[[42000,2]]","[[16000,2]]","[[1003,10]]","[[1003,25]]","[[1003,30]]",[],"[[1,10],[4,10],[5,20],[6,25]]","[[6,[1003,40],[1001,5],[16000,2]]]",Eventmission2405_000SurvivalPioneers,
1223,201,144,1,1,"[[1003,20]]","[[1002,3000]]","[[42000,3]]","[[16000,3]]","[[1003,40]]","[[1003,50]]",[],"[[1,30],[5,40],[6,65]]","[[6,[1003,55],[1001,10],[1002,5000]]]",,
1224,202,144,1,1,"[[1003,40]]","[[1003,40]]","[[1003,70]]","[[1002,5000]]","[[42000,4]]","[[16000,4]]",[],"[[1,30],[2,70],[3,95]]","[[6,[1003,95],[1001,10],[42000,4]]]",,
1225,203,144,1,1,"[[1003,80]]","[[42000,4]]","[[16000,4]]","[[1003,95]]","[[1002,8000]]","[[1003,115]]",[],"[[1,60],[4,95],[6,105]]","[[6,[1003,135],[11001,1],[60012,1]]]",,
1226,204,144,1,1,"[[1003,115]]","[[42000,5]]","[[16000,5]]","[[1003,155]]","[[1002,10000]]","[[1003,175]]",[],"[[1,95],[4,120],[6,145]]","[[6,[1003,230],[11001,1]]]",,
1227,205,144,1,1,"[[1003,115]]","[[1002,15000]]","[[1003,135]]","[[1003,175]]","[[42000,5]]","[[1003,230]]",[],"[[1,105],[3,120],[4,130],[6,145]]","[[6,[1003,265],[1001,30],[60015,1]]]",,
1228,300,144,1,1,"[[1003,10]]","[[42000,2]]","[[16000,2]]","[[1003,10]]","[[1003,25]]","[[1003,30]]",[],"[[1,10],[4,10],[5,20],[6,25]]","[[6,[1003,40],[1001,5],[16000,2]]]",Eventmission2405_000SurvivalPioneers,
1229,301,144,1,1,"[[1003,20]]","[[1002,3000]]","[[42000,3]]","[[16000,3]]","[[1003,40]]","[[1003,50]]",[],"[[1,30],[5,40],[6,65]]","[[6,[1003,55],[1001,10],[1002,5000]]]",,
1230,302,144,1,1,"[[1003,40]]","[[1003,40]]","[[1003,70]]","[[1002,5000]]","[[42000,4]]","[[16000,4]]",[],"[[1,30],[2,70],[3,95]]","[[6,[1003,95],[1001,10],[42000,4]]]",,
1231,303,144,1,1,"[[1003,80]]","[[42000,4]]","[[16000,4]]","[[1003,95]]","[[1002,8000]]","[[1003,115]]",[],"[[1,60],[4,95],[6,105]]","[[6,[1003,135],[11001,1],[60012,1]]]",,
1232,304,144,1,1,"[[1003,115]]","[[42000,5]]","[[16000,5]]","[[1003,155]]","[[1002,10000]]","[[1003,175]]",[],"[[1,95],[4,120],[6,145]]","[[6,[1003,230],[11001,1]]]",,
1233,305,144,1,1,"[[1003,115]]","[[1002,15000]]","[[1003,135]]","[[1003,175]]","[[42000,5]]","[[1003,230]]",[],"[[1,105],[3,120],[4,130],[6,145]]","[[6,[1003,265],[1001,30],[60015,1]]]",,
1234,100,3,2,2,"[[1002,1000]]","[[1003,10]]","[[1003,630],[1001,10]]","[[1003,50]]","[[1003,50]]","[[1003,780],[1001,20]]","[[3,1809],[6,1800]]",[],[],,
1235,101,3,2,2,"[[1003,100],[13001,1]]","[[1003,100]]","[[1003,1000],[1001,30]]","[[1003,100],[13001,2]]","[[1003,130]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1236,102,3,2,2,"[[1003,130],[1002,5000]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,50],[11001,1]]","[[1003,150]]","[[1003,150],[42000,2]]","[[1003,2300],[1001,60],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1237,103,3,2,2,"[[1003,200],[1002,10000]]","[[1003,200],[30000,20]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]",[],"[[3,1805]]",[],[],,
1238,104,3,2,2,[],[],[],[],[],[],[],[],[],,
1239,105,3,2,2,[],[],[],[],[],[],[],[],[],,
1240,200,3,2,2,"[[1002,1000]]","[[1003,10]]","[[1003,1000],[1001,30]]","[[1003,100],[13001,2]]","[[1003,130]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1241,201,3,2,2,"[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,50],[11001,1]]","[[1003,150]]","[[1003,150],[42000,2]]","[[1003,2300],[1001,60],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1242,202,3,2,2,"[[1003,200],[1002,10000]]","[[1003,200],[30000,10]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3000],[1001,100],[11001,4]]","[[3,1805],[6,1806]]",[],[],,
1243,203,3,2,2,"[[1003,300],[1002,20000]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]",[],"[[3,1807]]",[],[],,
1244,204,3,2,2,[],[],[],[],[],[],[],[],[],,
1245,205,3,2,2,[],[],[],[],[],[],[],[],[],,
1246,300,3,2,2,"[[1002,1000]]","[[1003,10]]","[[1003,1500],[1001,40]]","[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,50],[11001,1]]","[[3,1802],[6,1811]]",[],[],,
1247,301,3,2,2,"[[1003,150]]","[[1003,150],[42000,2]]","[[1003,2300],[1001,60],[11001,2]]","[[1003,200],[1002,10000]]","[[1003,200],[30000,10]]","[[1003,2650],[1001,80],[11001,3]]","[[3,1812],[6,1805]]",[],[],,
1248,302,3,2,2,"[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3000],[1001,100],[11001,4]]","[[1003,300],[1002,20000]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[3,1806],[6,1807]]",[],[],,
1249,303,3,2,2,"[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]","[[1003,4000],[1001,150],[11001,5]]","[[1003,400],[1002,30000]]","[[1003,400],[11001,1]]",[],"[[3,1808]]",[],[],,
1250,304,3,2,2,[],[],[],[],[],[],[],[],[],,
1251,305,3,2,2,[],[],[],[],[],[],[],[],[],,
1252,100,143,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,600],[1001,10]]","[[60012,1]]","[[1003,100]]","[[1003,830],[1001,15]]","[[3,1809],[6,1800]]",[],[],,
1253,101,143,1,2,"[[60012,1]]","[[1003,120]]","[[1003,1050],[1001,20]]","[[60013,1]]","[[1003,150]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1254,102,143,1,2,"[[1003,130],[1002,5000]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1255,103,143,1,2,"[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]",[],"[[3,1805]]",[],[],,
1256,104,143,1,2,[],[],[],[],[],[],[],[],[],,
1257,105,143,1,2,[],[],[],[],[],[],[],[],[],,
1258,200,143,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1050],[1001,20]]","[[60013,1]]","[[1003,150]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1259,201,143,1,2,"[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1260,202,143,1,2,"[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3150],[1001,90],[11001,4]]","[[3,1805],[6,1806]]",[],[],,
1261,203,143,1,2,"[[60015,1]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]",[],"[[3,1807]]",[],[],,
1262,204,143,1,2,[],[],[],[],[],[],[],[],[],,
1263,205,143,1,2,[],[],[],[],[],[],[],[],[],,
1264,300,143,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1500],[1001,40]]","[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[3,1802],[6,1811]]",[],[],,
1265,301,143,1,2,"[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[3,1812],[6,1805]]",[],[],,
1266,302,143,1,2,"[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3150],[1001,90],[11001,4]]","[[60015,1]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[3,1806],[6,1807]]",[],[],,
1267,303,143,1,2,"[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]","[[1003,4000],[1001,150],[11001,5]]","[[1003,400],[1002,30000]]","[[1003,400],[11001,1]]",[],"[[3,1808]]",[],[],,
1268,304,143,1,2,[],[],[],[],[],[],[],[],[],,
1269,305,143,1,2,[],[],[],[],[],[],[],[],[],,
1270,100,135,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,600],[1001,10]]","[[60012,1]]","[[1003,100]]","[[1003,830],[1001,15]]","[[3,1809],[6,1800]]",[],[],,
1271,101,135,1,2,"[[60012,1]]","[[1003,120]]","[[1003,1050],[1001,20]]","[[60013,1]]","[[1003,150]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1272,102,135,1,2,"[[1003,130],[1002,5000]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1273,103,135,1,2,"[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]",[],"[[3,1805]]",[],[],,
1274,104,135,1,2,[],[],[],[],[],[],[],[],[],,
1275,105,135,1,2,[],[],[],[],[],[],[],[],[],,
1276,200,135,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1050],[1001,20]]","[[60013,1]]","[[1003,150]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1277,201,135,1,2,"[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1278,202,135,1,2,"[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3150],[1001,90],[11001,4]]","[[3,1805],[6,1806]]",[],[],,
1279,203,135,1,2,"[[60015,1]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]",[],"[[3,1807]]",[],[],,
1280,204,135,1,2,[],[],[],[],[],[],[],[],[],,
1281,205,135,1,2,[],[],[],[],[],[],[],[],[],,
1282,300,135,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1500],[1001,40]]","[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[3,1802],[6,1811]]",[],[],,
1283,301,135,1,2,"[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[3,1812],[6,1805]]",[],[],,
1284,302,135,1,2,"[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3150],[1001,90],[11001,4]]","[[60015,1]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[3,1806],[6,1807]]",[],[],,
1285,303,135,1,2,"[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]","[[1003,4000],[1001,150],[11001,5]]","[[1003,400],[1002,30000]]","[[1003,400],[11001,1]]",[],"[[3,1808]]",[],[],,
1286,304,135,1,2,[],[],[],[],[],[],[],[],[],,
1287,305,135,1,2,[],[],[],[],[],[],[],[],[],,
1288,100,4,2,2,"[[1002,1000]]","[[1003,10]]","[[1003,630],[1001,10]]","[[1003,50]]","[[1003,50]]","[[1003,780],[1001,20]]","[[3,1809],[6,1800]]",[],[],,
