id,attribute,partnerEnergy,difficultyRange,reward,nextID,obstacleModel1,obstacleDurability1,obstacle1Drop,obstacleModel2,obstacleDurability2,obstacle2Drop,obstacleModel3,obstacleDurability3,cumulativeRewards
160,-1,745,"[709,744]","[[1003,360],[2008,30]]",161,Village_mushroom_05,223,"[3,6]",mission4richman_stinkymushroom1,260,"[3,6]",PVE_cage1,262,"[[1003,500],[2007,80],[1002,80000]]"
161,1,610,"[574,609]","[[1003,180],[2008,32]]",162,2318MusicCampus_flower_12,183,"[3,6]",2318MusicCampus_flower_11,213,"[3,6]",PVE_cage1,214,[]
162,2,610,"[574,609]","[[1003,180],[2008,32]]",163,2323TurkeyLegend_tree_01,183,"[3,6]",2323TurkeyLegend_tree_02,213,"[3,6]",PVE_cage1,214,[]
163,3,610,"[574,609]","[[1003,180],[2008,32]]",164,30004_stone_08,183,"[3,6]",30004_stone_06,213,"[3,6]",PVE_cage1,214,[]
164,4,610,"[574,609]","[[1003,180],[2008,32]]",165,30002_stone_02,183,"[3,6]",30002_stone_03,213,"[3,6]",PVE_cage1,214,[]
165,-1,770,"[734,769]","[[1003,370],[2008,32]]",166,Village_mushroom_05,231,"[3,6]",Village_mushroom_10,269,"[3,6]",PVE_cage1,270,[]
166,1,630,"[594,629]","[[1003,185],[2008,34]]",167,Map01_grass_33,189,"[3,6]",Map01_grass_32,220,"[3,6]",PVE_cage1,221,[]
167,2,630,"[594,629]","[[1003,185],[2008,34]]",168,2323TurkeyLegend_tree_12,189,"[3,6]",Map17_tree_02,220,"[3,6]",PVE_cage1,221,[]
168,3,630,"[594,629]","[[1003,185],[2008,34]]",169,2322ThiefMagic_stone_03,189,"[3,6]",2322ThiefMagic_stone_05,220,"[3,6]",PVE_cage1,221,[]
169,4,630,"[594,629]","[[1003,185],[2008,34]]",170,cave_diamond_stone_01,189,"[3,6]",cave_diamond_stone_03,220,"[3,6]",PVE_cage1,221,[]
170,-1,795,"[759,794]","[[1003,380],[2008,34]]",171,Village_mushroom_05,238,"[3,6]",mission4richman_stinkymushroom1,278,"[3,6]",PVE_cage1,279,"[[1003,600],[2007,90],[1002,90000]]"
171,1,650,"[614,649]","[[1003,190],[2008,36]]",172,Map01_grass_33,195,"[3,6]",Map01_grass_32,227,"[3,6]",PVE_cage1,228,[]
172,2,650,"[614,649]","[[1003,190],[2008,36]]",173,2323TurkeyLegend_tree_12,195,"[3,6]",Map17_tree_02,227,"[3,6]",PVE_cage1,228,[]
173,3,650,"[614,649]","[[1003,190],[2008,36]]",174,2322ThiefMagic_stone_03,195,"[3,6]",2322ThiefMagic_stone_05,227,"[3,6]",PVE_cage1,228,[]
174,4,650,"[614,649]","[[1003,190],[2008,36]]",175,cave_diamond_stone_01,195,"[3,6]",cave_diamond_stone_03,227,"[3,6]",PVE_cage1,228,[]
175,-1,820,"[784,819]","[[1003,390],[2008,40]]",-1,Village_mushroom_05,246,"[3,6]",mission4richman_stinkymushroom1,287,"[3,6]",PVE_cage1,287,"[[1003,800],[2007,100],[1002,100000]]"
