id,group,unlockLevel,unlockCondition,conditionParam1,conditionParam2,payLabel,shopId,energyMethod,energyNum,eventTime,nextId,OrdinaryId,midId,bigId,
1183,1181,10,1,2024-2-27 19:00:00,2024-2-29 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1184,,,,
1184,1181,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1185,1181,10,1,2024-2-27 19:00:00,2024-2-29 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1186,,,,
1186,1181,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1187,1181,10,1,2024-2-27 19:00:00,2024-2-29 19:00:00,[7],40,"[760,5]",3800,1440,1188,,,,
1188,1181,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1191,1191,10,1,2024-3-2 19:00:00,2024-3-4 19:00:00,"[1,2]",41,"[172,5]",860,1440,1192,,,,
1192,1191,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1193,1191,10,1,2024-3-2 19:00:00,2024-3-4 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1194,,,,
1194,1191,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1195,1191,10,1,2024-3-2 19:00:00,2024-3-4 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1196,,,,
1196,1191,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1197,1191,10,1,2024-3-2 19:00:00,2024-3-4 19:00:00,[7],40,"[760,5]",3800,1440,1198,,,,
1198,1191,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
