id,level,noType,tools,blockid,stoneid,stone_type_per,stone_per,goal,map,TypeA,roundA,roundB,roundC,roundD,roundK_C,roundK_D,refresh_rounds
56,56,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,0]","[5,1,5,7]","[1001,9,1002,9]","[0,0,0,0,0,0,1002,0,0,3,1001,0,0,0,1002,0,0,1001,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1001,0,0,0,1002,0,0,1001,3,0,0,0,1002,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
57,57,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,12]","[0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,1001,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,1001,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
58,58,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,4]","[5,1,5,7]","[1001,4,1002,4,1003,4]","[0,0,0,0,0,0,0,0,3,0,0,1001,1001,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,1002,1002,0,0,1003,1003,1003,0,0,0,3,3,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,7
59,59,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1003,1002]","[2,4,0]","[5,1,5,7]","[1001,6,1003,7]","[0,0,0,3,3,0,0,0,1003,0,0,3,3,0,0,1003,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,1001,1001,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
60,60,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,4]","[5,1,5,7]","[1001,9,1002,9,1003,9]","[3,0,0,1003,1003,0,0,3,0,1001,0,0,0,0,1001,0,0,0,1001,0,0,1001,0,0,0,3,0,1002,1002,0,3,0,3,3,0,0,0,0,3,3,0,3,1001,0,0,1001,3,0,0,1001,0,0,0,0,1001,0,3,0,0,1003,1003,0,0,3]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
61,61,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,320]","[0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,7
62,62,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,240]","[0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,0,0,0,3,3,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
63,63,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,150]","[0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
64,64,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,310]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,3,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,7
65,65,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,350]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,3,0,3,3,0,0,3,3,0,0,3,3,0,0,3,3,0,3,0,0,3,3,0,0,3,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
66,66,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,300]","[3,3,0,0,0,0,3,3,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,3,3,0,0,0,0,3,3]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
67,67,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,28]","[0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,1001,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
68,68,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,20]","[0,0,0,0,0,0,0,0,0,0,0,0,1001,0,1001,0,0,1001,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,1001,0,0,1001,0,1001,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
69,69,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1002,1001,1003]","[3,0,0]","[5,1,5,7]","[1002,11]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
70,70,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1003,1002,1001]","[4,0,0]","[5,1,5,7]","[1003,30]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,1003,0,0,0,1003,1003,0,0,0,0,1003,1003,0,1003,0,0,0,0,1003,0,1003,1003,0,1003,1003,0,1003,1003,0,0,1003,0,0,1003,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
71,71,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,22]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,1001,0,1001,1001,1001,1001,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
72,72,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,20]","[0,0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1001,1001,3,3,1001,1001,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1001,1001,1001,0,0,0,1001,1001]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,4,8,19,2,2,4
73,73,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,320]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,3,0,3,0,0,0,0,3,0,3,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,7
74,74,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,270]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
75,75,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,180]","[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,3,0,3,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
76,76,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,360]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,3,3,3,3,3,3,3,0,3,3,3,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
77,77,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,230]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,3,3,3,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
78,78,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,330]","[0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,3,3,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
79,79,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,4]","[5,1,5,7]","[1001,6,1002,6,1003,6]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,1002,0,0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,1002,1002,0,0,0,0,1001,1001,0,0,1001,1001,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
80,80,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1002,1001,1003]","[3,0,0]","[5,1,5,7]","[1002,22]","[0,0,0,0,0,0,0,0,0,1002,1002,0,0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,1002,1002,0,0,0,0,1002,1002,0,0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
81,81,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,20]","[0,0,0,0,0,0,0,0,1001,1001,1001,0,0,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,1001,1001,0,0,0,1001,1001,1001,0,0,1001,1001,1001,0,0,1001,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
82,82,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,0]","[5,1,5,7]","[1001,13,1002,13]","[0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1001,0,0,1,0,1001,0,1002,1001,1002,0,0,1002,1001,1002,0,1001,0,0,1002,0,1001,0,0,0,0,0,1002,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
83,83,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,16]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,1001,0,1001,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,1001,0,1001,0,0,0,0,0,0,1001,0,1001,0,0,0,0,1001,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
84,84,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1003,1002,1001]","[4,0,0]","[5,1,5,7]","[1003,27]","[0,1003,0,1003,0,1003,0,1003,1003,0,1003,0,1003,0,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,1003,0,1003,0,1003]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,7
85,85,[],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,330]","[3,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,7
86,86,[],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,370]","[3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,7
87,87,[],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,250]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
88,88,[],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,360]","[0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
89,89,[],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,320]","[0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,7
90,90,[],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,380]","[0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,0,3]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
91,91,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,0]","[5,1,5,7]","[1001,9,1002,9]","[0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,1002,0,0,0,3,3,0,0,0,0,0,0,1001,1001,0,0,0,0,1001,3,3,3,3,1001,0,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
92,92,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,0]","[5,1,5,7]","[1001,10,1002,10]","[0,0,0,0,0,0,0,0,3,0,0,0,0,0,1002,0,0,3,1001,0,0,0,1002,0,0,1001,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1001,0,0,1002,0,0,0,1001,3,0,0,1002,0,0,0,0,0,3]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
93,93,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,16]","[0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,1001,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,1001,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
94,94,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,4]","[5,1,5,7]","[1001,6,1002,6,1003,6]","[0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1001,1001,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1002,1002,1002,0,0,1003,1003,1003,0,0,0,3,3,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,7
95,95,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1003,1002]","[2,4,0]","[5,1,5,7]","[1001,6,1003,6]","[0,0,0,3,3,0,0,0,1003,0,0,3,3,0,0,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,1001,1001,1001,1001,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
96,96,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,4]","[5,1,5,7]","[1001,10,1002,10,1003,10]","[0,1001,0,1001,0,1002,0,1003,1003,0,1003,0,1003,0,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,1003,0,3,1003,3,1002]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
97,97,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,25]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
98,98,[],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,500]","[0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,17,30,2,2,7
99,99,[],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,600]","[0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,17,19,2,2,6
100,100,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,4]","[5,1,5,7]","[1001,10,1002,10,1003,10]","[0,0,1003,1003,1003,1003,0,0,3,0,0,0,0,0,0,3,1001,3,0,0,0,0,3,1001,0,3,0,0,0,0,3,0,3,0,0,1001,1001,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1002,3,0,0,3,1002,3]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
101,101,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,4]","[5,1,5,7]","[1001,10,1002,10,1003,10]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
102,102,[],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,4]","[5,1,5,7]","[1001,10,1002,10,1003,10]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
1001,1,[],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,10000]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,12,16,19,2,2,14
1002,2,[],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,10000]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,12,16,19,2,2,14
1003,3,[],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,10000]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,12,16,19,2,2,14
1004,4,[],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,10000]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,12,16,19,2,2,14
1005,5,[],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,10000]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,12,16,19,2,2,14
201,1,"[12,13,4,5,33,34,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,2,3]",[],"[1,30]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",10,30,65,100,2,2,10000
202,2,"[12,13,4,5,33,34,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,5]","[3,1001,3,0,0,3,1001,3,1001,0,0,0,0,0,0,3,1001,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1001,0,0,0,0,0,0,1001,3,1001,0,0,0,1001,3,1001]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,30,65,100,2,2,10000
203,3,"[12,13,33,34,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,70]","[0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,3,3,0,0,0,3,3,3,3,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,30,65,100,2,2,10000
204,4,"[12,13,4,5,33,34,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,150]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,10,14,21,2,2,10000
205,5,"[12,13,4,5,33,34,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,10]","[0,1001,0,0,0,0,1001,0,0,1001,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,1001,0,0,1001,0,0,0,0,1001,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,21,2,2,10000
