id,level,smallBpId,exp,normalType,normalReward,vipType,vipReward,payLabel,
502,1,2,100,0,"[1003,10]",0,"[1003,30]",[],
503,2,2,100,0,"[1003,10]",0,"[1003,30]",[],
504,3,2,150,0,"[1003,10]",0,"[1003,30]",[],
505,4,2,200,0,"[1003,10]",0,"[1003,30]",[],
506,5,2,200,0,"[1003,10]",0,"[1003,50]",[],
507,6,2,250,0,"[1003,10]",0,"[1003,50]",[],
508,7,2,250,0,"[1003,15]",0,"[1003,80]",[],
509,8,2,250,0,"[1003,15]",0,"[1003,80]",[],
510,9,2,300,0,"[1003,15]",0,"[1003,80]",[],
511,10,2,300,0,"[1003,15]",0,"[1003,80]",[],
512,11,2,400,0,"[1003,20]",0,"[1003,100]",[],
513,12,2,400,0,"[1003,20]",0,"[1003,100]",[],
514,13,2,500,0,"[1003,20]",0,"[1003,100]",[],
515,14,2,500,0,"[1003,30]",0,"[11001,2]",[],
516,15,2,-1,0,"[1003,50]",0,"[1003,300]",[],
520,0,140,200,0,"[1003,10]",2,"[332001,1]",[],
521,1,140,200,0,"[1003,10]",1,[1],[],
522,2,140,300,0,"[1003,10]",0,"[1003,50]",[],
523,3,140,300,0,"[1003,10]",0,"[1003,50]",[],
524,4,140,400,0,"[1003,10]",0,"[1003,50]",[],
525,5,140,400,0,"[1003,15]",0,"[1003,80]",[],
526,6,140,500,0,"[1003,15]",0,"[1003,80]",[],
527,7,140,500,0,"[1003,15]",0,"[1003,80]",[],
528,8,140,500,0,"[1003,20]",0,"[1003,100]",[],
529,9,140,600,0,"[1003,20]",0,"[1003,100]",[],
530,10,140,600,0,"[1003,20]",0,"[1003,100]",[],
531,11,140,800,0,"[1003,30]",0,"[1003,200]",[],
532,12,140,800,0,"[1003,30]",0,"[1003,200]",[],
533,13,140,1000,0,"[1003,30]",0,"[1003,200]",[],
534,14,140,1000,0,"[1003,60]",0,"[11001,4]",[],
535,15,140,-1,0,"[1003,100]",0,"[1003,800]",[],
540,0,139,200,0,"[1003,10]",2,"[331001,1]","[4,5,6,7]",
541,1,139,200,0,"[1003,10]",1,[1],"[4,5,6,7]",
542,2,139,300,0,"[1003,10]",0,"[1003,50]","[4,5,6,7]",
543,3,139,300,0,"[1003,10]",0,"[1003,50]","[4,5,6,7]",
544,4,139,400,0,"[1003,10]",0,"[1003,50]","[4,5,6,7]",
545,5,139,400,0,"[1003,15]",0,"[1003,80]","[4,5,6,7]",
546,6,139,500,0,"[1003,15]",0,"[1003,80]","[4,5,6,7]",
547,7,139,500,0,"[1003,15]",0,"[1003,80]","[4,5,6,7]",
548,8,139,500,0,"[1003,20]",0,"[1003,100]","[4,5,6,7]",
549,9,139,600,0,"[1003,20]",0,"[1003,100]","[4,5,6,7]",
550,10,139,600,0,"[1003,20]",0,"[1003,100]","[4,5,6,7]",
551,11,139,800,0,"[1003,30]",0,"[1003,200]","[4,5,6,7]",
552,12,139,800,0,"[1003,30]",0,"[1003,200]","[4,5,6,7]",
553,13,139,1000,0,"[1003,30]",0,"[1003,200]","[4,5,6,7]",
554,14,139,1000,0,"[1003,60]",0,"[11001,4]","[4,5,6,7]",
555,15,139,-1,0,"[1003,100]",0,"[1003,800]","[4,5,6,7]",
560,0,139,100,0,"[1003,10]",0,"[1003,30]","[1,2,3]",
561,1,139,100,0,"[1003,10]",1,[1],"[1,2,3]",
562,2,139,100,0,"[1003,10]",0,"[1003,30]","[1,2,3]",
563,3,139,200,0,"[1003,10]",0,"[1003,30]","[1,2,3]",
564,4,139,200,0,"[1003,10]",0,"[1003,30]","[1,2,3]",
565,5,139,200,0,"[1003,15]",0,"[1003,40]","[1,2,3]",
566,6,139,300,0,"[1003,15]",0,"[1003,40]","[1,2,3]",
567,7,139,300,0,"[1003,15]",0,"[1003,40]","[1,2,3]",
568,8,139,300,0,"[1003,20]",0,"[1003,50]","[1,2,3]",
569,9,139,500,0,"[1003,20]",0,"[1003,50]","[1,2,3]",
570,10,139,500,0,"[1003,20]",0,"[1003,50]","[1,2,3]",
571,11,139,500,0,"[1003,30]",0,"[1003,100]","[1,2,3]",
572,12,139,500,0,"[1003,30]",0,"[1003,100]","[1,2,3]",
573,13,139,600,0,"[1003,30]",0,"[1003,100]","[1,2,3]",
574,14,139,600,0,"[1003,60]",0,"[11001,2]","[1,2,3]",
575,15,139,-1,0,"[1003,100]",0,"[1003,500]","[1,2,3]",
576,0,141,200,0,"[1003,10]",2,"[333001,1]",[],
577,1,141,200,0,"[1003,10]",1,[1],[],
578,2,141,300,0,"[1003,10]",0,"[1003,50]",[],
579,3,141,300,0,"[1003,10]",0,"[1003,50]",[],
580,4,141,400,0,"[1003,10]",0,"[1003,50]",[],
581,5,141,400,0,"[1003,15]",0,"[1003,80]",[],
582,6,141,500,0,"[1003,15]",0,"[1003,80]",[],
583,7,141,500,0,"[1003,15]",0,"[1003,80]",[],
584,8,141,500,0,"[1003,20]",0,"[1003,100]",[],
585,9,141,600,0,"[1003,20]",0,"[1003,100]",[],
586,10,141,600,0,"[1003,20]",0,"[1003,100]",[],
587,11,141,800,0,"[1003,30]",0,"[1003,200]",[],
588,12,141,800,0,"[1003,30]",0,"[1003,200]",[],
589,13,141,1000,0,"[1003,30]",0,"[1003,200]",[],
590,14,141,1000,0,"[1003,60]",0,"[11001,4]",[],
591,15,141,-1,0,"[1003,100]",0,"[1003,800]",[],
592,0,142,200,0,"[1003,10]",2,"[334001,1]",[],
593,1,142,200,0,"[1003,10]",1,[1],[],
594,2,142,300,0,"[1003,10]",0,"[1003,50]",[],
595,3,142,300,0,"[1003,10]",0,"[1003,50]",[],
596,4,142,400,0,"[1003,10]",0,"[1003,50]",[],
597,5,142,400,0,"[1003,15]",0,"[1003,80]",[],
598,6,142,500,0,"[1003,15]",0,"[1003,80]",[],
599,7,142,500,0,"[1003,15]",0,"[1003,80]",[],
600,8,142,500,0,"[1003,20]",0,"[1003,100]",[],
601,9,142,600,0,"[1003,20]",0,"[1003,100]",[],
602,10,142,600,0,"[1003,20]",0,"[1003,100]",[],
603,11,142,800,0,"[1003,30]",0,"[1003,200]",[],
604,12,142,800,0,"[1003,30]",0,"[1003,200]",[],
605,13,142,1000,0,"[1003,30]",0,"[1003,200]",[],
606,14,142,1000,0,"[1003,60]",0,"[11001,4]",[],
607,15,142,-1,0,"[1003,100]",0,"[1003,800]",[],
608,0,143,200,0,"[1003,10]",2,"[335001,1]",[],
609,1,143,200,0,"[1003,10]",1,[1],[],
610,2,143,300,0,"[1003,10]",0,"[1003,50]",[],
611,3,143,300,0,"[1003,10]",0,"[1003,50]",[],
612,4,143,400,0,"[1003,10]",0,"[1003,50]",[],
613,5,143,400,0,"[1003,15]",0,"[1003,80]",[],
614,6,143,500,0,"[1003,15]",0,"[1003,80]",[],
615,7,143,500,0,"[1003,15]",0,"[1003,80]",[],
616,8,143,500,0,"[1003,20]",0,"[1003,100]",[],
617,9,143,600,0,"[1003,20]",0,"[1003,100]",[],
618,10,143,600,0,"[1003,20]",0,"[1003,100]",[],
619,11,143,800,0,"[1003,30]",0,"[1003,200]",[],
620,12,143,800,0,"[1003,30]",0,"[1003,200]",[],
621,13,143,1000,0,"[1003,30]",0,"[1003,200]",[],
622,14,143,1000,0,"[1003,60]",0,"[11001,4]",[],
623,15,143,-1,0,"[1003,100]",0,"[1003,800]",[],
624,0,145,200,0,"[1003,10]",2,"[337001,1]",[],
625,1,145,200,0,"[1003,10]",1,[1],[],
626,2,145,300,0,"[1003,10]",0,"[1003,50]",[],
627,3,145,300,0,"[1003,10]",0,"[1003,50]",[],
628,4,145,400,0,"[1003,10]",0,"[1003,50]",[],
629,5,145,400,0,"[1003,15]",0,"[1003,80]",[],
630,6,145,500,0,"[1003,15]",0,"[1003,80]",[],
631,7,145,500,0,"[1003,15]",0,"[1003,80]",[],
632,8,145,500,0,"[1003,20]",0,"[1003,100]",[],
633,9,145,600,0,"[1003,20]",0,"[1003,100]",[],
634,10,145,600,0,"[1003,20]",0,"[1003,100]",[],
635,11,145,800,0,"[1003,30]",0,"[1003,200]",[],
636,12,145,800,0,"[1003,30]",0,"[1003,200]",[],
637,13,145,1000,0,"[1003,30]",0,"[1003,200]",[],
638,14,145,1000,0,"[1003,60]",0,"[11001,4]",[],
639,15,145,-1,0,"[1003,100]",0,"[1003,800]",[],
640,0,144,200,0,"[1003,10]",2,"[336001,1]",[],
641,1,144,200,0,"[1003,10]",1,[1],[],
642,2,144,300,0,"[1003,10]",0,"[1003,50]",[],
643,3,144,300,0,"[1003,10]",0,"[1003,50]",[],
644,4,144,400,0,"[1003,10]",0,"[1003,50]",[],
645,5,144,400,0,"[1003,15]",0,"[1003,80]",[],
646,6,144,500,0,"[1003,15]",0,"[1003,80]",[],
647,7,144,500,0,"[1003,15]",0,"[1003,80]",[],
648,8,144,500,0,"[1003,20]",0,"[1003,100]",[],
649,9,144,600,0,"[1003,20]",0,"[1003,100]",[],
650,10,144,600,0,"[1003,20]",0,"[1003,100]",[],
651,11,144,800,0,"[1003,30]",0,"[1003,200]",[],
652,12,144,800,0,"[1003,30]",0,"[1003,200]",[],
653,13,144,1000,0,"[1003,30]",0,"[1003,200]",[],
654,14,144,1000,0,"[1003,60]",0,"[11001,4]",[],
655,15,144,-1,0,"[1003,100]",0,"[1003,800]",[],
656,0,3,200,0,"[1003,10]",2,"[328001,1]",[],
657,1,3,200,0,"[1003,10]",1,[1],[],
658,2,3,300,0,"[1003,10]",0,"[1003,50]",[],
659,3,3,300,0,"[1003,10]",0,"[1003,50]",[],
660,4,3,400,0,"[1003,10]",0,"[1003,50]",[],
661,5,3,400,0,"[1003,15]",0,"[1003,80]",[],
662,6,3,500,0,"[1003,15]",0,"[1003,80]",[],
663,7,3,500,0,"[1003,15]",0,"[1003,80]",[],
664,8,3,500,0,"[1003,20]",0,"[1003,100]",[],
665,9,3,600,0,"[1003,20]",0,"[1003,100]",[],
666,10,3,600,0,"[1003,20]",0,"[1003,100]",[],
667,11,3,800,0,"[1003,30]",0,"[1003,200]",[],
668,12,3,800,0,"[1003,30]",0,"[1003,200]",[],
669,13,3,1000,0,"[1003,30]",0,"[1003,200]",[],
670,14,3,1000,0,"[1003,60]",0,"[11001,4]",[],
671,15,3,-1,0,"[1003,100]",0,"[1003,800]",[],
672,0,4,200,0,"[1003,10]",2,"[326001,1]",[],
673,1,4,200,0,"[1003,10]",1,[1],[],
674,2,4,300,0,"[1003,10]",0,"[1003,50]",[],
675,3,4,300,0,"[1003,10]",0,"[1003,50]",[],
676,4,4,400,0,"[1003,10]",0,"[1003,50]",[],
677,5,4,400,0,"[1003,15]",0,"[1003,80]",[],
678,6,4,500,0,"[1003,15]",0,"[1003,80]",[],
679,7,4,500,0,"[1003,15]",0,"[1003,80]",[],
680,8,4,500,0,"[1003,20]",0,"[1003,100]",[],
681,9,4,600,0,"[1003,20]",0,"[1003,100]",[],
682,10,4,600,0,"[1003,20]",0,"[1003,100]",[],
683,11,4,800,0,"[1003,30]",0,"[1003,200]",[],
684,12,4,800,0,"[1003,30]",0,"[1003,200]",[],
685,13,4,1000,0,"[1003,30]",0,"[1003,200]",[],
686,14,4,1000,0,"[1003,60]",0,"[11001,4]",[],
687,15,4,-1,0,"[1003,100]",0,"[1003,800]",[],
688,0,146,200,0,"[1003,10]",2,"[338001,1]",[],
689,1,146,200,0,"[1003,10]",1,[1],[],
690,2,146,300,0,"[1003,10]",0,"[1003,50]",[],
691,3,146,300,0,"[1003,10]",0,"[1003,50]",[],
692,4,146,400,0,"[1003,10]",0,"[1003,50]",[],
693,5,146,400,0,"[1003,15]",0,"[1003,80]",[],
694,6,146,500,0,"[1003,15]",0,"[1003,80]",[],
695,7,146,500,0,"[1003,15]",0,"[1003,80]",[],
696,8,146,500,0,"[1003,20]",0,"[1003,100]",[],
697,9,146,600,0,"[1003,20]",0,"[1003,100]",[],
698,10,146,600,0,"[1003,20]",0,"[1003,100]",[],
699,11,146,800,0,"[1003,30]",0,"[1003,200]",[],
700,12,146,800,0,"[1003,30]",0,"[1003,200]",[],
701,13,146,1000,0,"[1003,30]",0,"[1003,200]",[],
702,14,146,1000,0,"[1003,60]",0,"[11001,4]",[],
703,15,146,-1,0,"[1003,100]",0,"[1003,800]",[],
20000,0,20001,5,0,"[1002,100]",0,"[6403,5]",[],
20001,1,20001,5,0,"[6402,1]",0,"[6401,1]",[],
20002,2,20001,5,0,"[1001,5]",0,"[1003,200]",[],
20003,3,20001,5,0,"[1002,200]",0,"[6401,1]",[],
20004,4,20001,5,0,"[6402,1]",0,"[1003,300]",[],
20005,5,20001,5,0,"[1001,10]",0,"[6401,1]",[],
20006,6,20001,5,0,"[1002,300]",0,"[6400,1]",[],
20007,7,20001,5,0,"[1002,400]",0,"[6403,5]",[],
20008,8,20001,5,0,"[6402,1]",0,"[6401,2]",[],
20009,9,20001,5,0,"[1001,15]",0,"[6400,1]",[],
20010,10,20001,5,0,"[1002,500]",0,"[1003,300]",[],
20011,11,20001,4,0,"[6402,1]",0,"[6401,2]",[],
20012,12,20001,-1,0,"[1001,20]",0,"[6400,1]",[],
704,0,147,200,0,"[1003,10]",2,"[339001,1]",[],
705,1,147,200,0,"[1003,10]",1,[1],[],
706,2,147,300,0,"[1003,10]",0,"[1003,50]",[],
707,3,147,300,0,"[1003,10]",0,"[1003,50]",[],
708,4,147,400,0,"[1003,10]",0,"[1003,50]",[],
709,5,147,400,0,"[1003,15]",0,"[1003,80]",[],
710,6,147,500,0,"[1003,15]",0,"[1003,80]",[],
711,7,147,500,0,"[1003,15]",0,"[1003,80]",[],
712,8,147,500,0,"[1003,20]",0,"[1003,100]",[],
713,9,147,600,0,"[1003,20]",0,"[1003,100]",[],
714,10,147,600,0,"[1003,20]",0,"[1003,100]",[],
715,11,147,800,0,"[1003,30]",0,"[1003,200]",[],
716,12,147,800,0,"[1003,30]",0,"[1003,200]",[],
717,13,147,1000,0,"[1003,30]",0,"[1003,200]",[],
718,14,147,1000,0,"[1003,60]",0,"[11001,4]",[],
719,15,147,-1,0,"[1003,100]",0,"[1003,800]",[],
720,0,149,200,0,"[1003,10]",2,"[340001,1]",[],
721,1,149,200,0,"[1003,10]",1,[1],[],
722,2,149,300,0,"[1003,10]",0,"[1003,50]",[],
723,3,149,300,0,"[1003,10]",0,"[1003,50]",[],
724,4,149,400,0,"[1003,10]",0,"[1003,50]",[],
725,5,149,400,0,"[1003,15]",0,"[1003,80]",[],
726,6,149,500,0,"[1003,15]",0,"[1003,80]",[],
727,7,149,500,0,"[1003,15]",0,"[1003,80]",[],
728,8,149,500,0,"[1003,20]",0,"[1003,100]",[],
729,9,149,600,0,"[1003,20]",0,"[1003,100]",[],
730,10,149,600,0,"[1003,20]",0,"[1003,100]",[],
731,11,149,800,0,"[1003,30]",0,"[1003,200]",[],
732,12,149,800,0,"[1003,30]",0,"[1003,200]",[],
733,13,149,1000,0,"[1003,30]",0,"[1003,200]",[],
734,14,149,1000,0,"[1003,60]",0,"[11001,4]",[],
735,15,149,-1,0,"[1003,100]",0,"[1003,800]",[],
736,0,151,200,0,"[1003,10]",2,"[340001,1]",[],
737,1,151,200,0,"[1003,10]",1,[1],[],
738,2,151,300,0,"[1003,10]",0,"[1003,50]",[],
739,3,151,300,0,"[1003,10]",0,"[1003,50]",[],
740,4,151,400,0,"[1003,10]",0,"[1003,50]",[],
741,5,151,400,0,"[1003,15]",0,"[1003,80]",[],
742,6,151,500,0,"[1003,15]",0,"[1003,80]",[],
743,7,151,500,0,"[1003,15]",0,"[1003,80]",[],
744,8,151,500,0,"[1003,20]",0,"[1003,100]",[],
745,9,151,600,0,"[1003,20]",0,"[1003,100]",[],
746,10,151,600,0,"[1003,20]",0,"[1003,100]",[],
747,11,151,800,0,"[1003,30]",0,"[1003,200]",[],
748,12,151,800,0,"[1003,30]",0,"[1003,200]",[],
749,13,151,1000,0,"[1003,30]",0,"[1003,200]",[],
750,14,151,1000,0,"[1003,60]",0,"[11001,4]",[],
751,15,151,-1,0,"[1003,100]",0,"[1003,800]",[],
752,0,150,200,0,"[1006,10]",2,"[341001,1]",[],
753,1,150,200,0,"[1006,10]",1,[1],[],
754,2,150,300,0,"[1006,10]",0,"[1006,50]",[],
755,3,150,300,0,"[1006,10]",0,"[1006,50]",[],
756,4,150,400,0,"[1006,10]",0,"[1006,50]",[],
757,5,150,400,0,"[1006,15]",0,"[1006,80]",[],
758,6,150,500,0,"[1006,15]",0,"[1006,80]",[],
759,7,150,500,0,"[1006,15]",0,"[1006,80]",[],
760,8,150,500,0,"[1006,20]",0,"[1006,100]",[],
761,9,150,600,0,"[1006,20]",0,"[1006,100]",[],
762,10,150,600,0,"[1006,20]",0,"[1006,100]",[],
763,11,150,800,0,"[1006,30]",0,"[1006,200]",[],
764,12,150,800,0,"[1006,30]",0,"[1006,200]",[],
765,13,150,1000,0,"[1006,30]",0,"[1006,200]",[],
766,14,150,1000,0,"[1006,60]",0,"[11001,4]",[],
767,15,150,-1,0,"[1006,100]",0,"[1006,800]",[],
768,0,152,200,0,"[1003,10]",2,"[341001,1]",[],
769,1,152,200,0,"[1003,10]",1,[1],[],
770,2,152,300,0,"[1003,10]",0,"[1003,50]",[],
771,3,152,300,0,"[1003,10]",0,"[1003,50]",[],
772,4,152,400,0,"[1003,10]",0,"[1003,50]",[],
773,5,152,400,0,"[1003,15]",0,"[1003,80]",[],
774,6,152,500,0,"[1003,15]",0,"[1003,80]",[],
775,7,152,500,0,"[1003,15]",0,"[1003,80]",[],
776,8,152,500,0,"[1003,20]",0,"[1003,100]",[],
777,9,152,600,0,"[1003,20]",0,"[1003,100]",[],
778,10,152,600,0,"[1003,20]",0,"[1003,100]",[],
779,11,152,800,0,"[1003,30]",0,"[1003,200]",[],
780,12,152,800,0,"[1003,30]",0,"[1003,200]",[],
781,13,152,1000,0,"[1003,30]",0,"[1003,200]",[],
782,14,152,1000,0,"[1003,60]",0,"[11001,4]",[],
783,15,152,-1,0,"[1003,100]",0,"[1003,800]",[],
