id,level,activityId,exp,normalType,normalItem,vipType,vipItem,diamondCost,specialReward,
1616,16,16,80,0,"[1003,50]",0,"[1003,200]",30,1,
1617,17,16,80,0,"[16000,5]",0,"[16000,25]",30,1,
1618,18,16,100,0,"[1001,10]",0,"[1001,50]",30,1,
1619,19,16,100,0,"[1002,500]",0,"[1002,2000]",30,1,
1620,20,16,100,0,"[1003,50]",0,"[1003,200]",30,1,
1621,21,16,100,0,"[2005,5]",0,"[2005,20]",30,1,
1622,22,16,120,0,"[42000,1]",0,"[42000,5]",30,1,
1623,23,16,120,0,"[1002,500]",4,[27201],30,0,
1624,24,16,120,0,"[1003,55]",0,"[11001,2]",30,1,
1625,25,16,200,0,"[1001,20]",0,"[1001,100]",30,1,
1626,26,16,-1,0,"[1003,100]",0,"[1003,600]",30,1,
1627,999,16,-1,0,[],5,[80],30,0,
1700,0,17,40,0,"[1003,10]",7,"[92025,1]",30,0,
1701,1,17,40,0,"[1003,15]",0,"[1003,50]",30,1,
1702,2,17,40,0,"[1002,200]",1,[1],30,0,
1703,3,17,40,0,"[1003,15]",0,"[1003,50]",30,1,
1704,4,17,50,0,"[2006,5]",0,"[15000,20]",30,1,
1705,5,17,50,0,"[1002,200]",2,[10],30,0,
1706,6,17,50,0,"[1003,15]",0,"[1003,50]",30,1,
1707,7,17,50,0,"[1002,200]",0,"[1002,1000]",30,1,
1708,8,17,60,0,"[2007,20]",0,"[2008,20]",30,1,
1709,9,17,60,0,"[1003,30]",0,"[11001,1]",30,1,
1710,10,17,60,0,"[1002,500]",3,[1],30,0,
1711,11,17,60,0,"[1001,10]",0,"[1001,50]",30,1,
1712,12,17,60,0,"[1003,50]",0,"[1003,200]",30,1,
1713,13,17,80,0,"[1002,500]",0,"[1002,2000]",30,1,
1714,14,17,80,0,"[2100,5]",0,"[2100,10]",30,1,
1715,15,17,80,0,"[1002,500]",6,[24035],30,0,
1716,16,17,80,0,"[1003,50]",0,"[1003,200]",30,1,
1717,17,17,80,0,"[16000,5]",0,"[16000,25]",30,1,
1718,18,17,100,0,"[1001,10]",0,"[1001,50]",30,1,
1719,19,17,100,0,"[1002,500]",0,"[1002,2000]",30,1,
1720,20,17,100,0,"[1003,50]",0,"[1003,200]",30,1,
1721,21,17,100,0,"[2005,5]",0,"[2005,20]",30,1,
1722,22,17,120,0,"[42000,1]",0,"[42000,5]",30,1,
1723,23,17,120,0,"[1002,500]",4,[27228],30,0,
1724,24,17,120,0,"[1003,55]",0,"[11001,2]",30,1,
1725,25,17,200,0,"[1001,20]",0,"[1001,100]",30,1,
1726,26,17,-1,0,"[1003,100]",0,"[1003,600]",30,1,
1727,999,17,-1,0,[],5,[80],30,0,
1800,0,18,40,0,"[1003,10]",7,"[92026,1]",30,0,
1801,1,18,40,0,"[1003,15]",0,"[1003,50]",30,1,
1802,2,18,40,0,"[1002,200]",1,[1],30,0,
1803,3,18,40,0,"[1003,15]",0,"[1003,50]",30,1,
1804,4,18,50,0,"[2006,5]",0,"[15000,20]",30,1,
1805,5,18,50,0,"[1002,200]",2,[10],30,0,
1806,6,18,50,0,"[1003,15]",0,"[1003,50]",30,1,
1807,7,18,50,0,"[1002,200]",0,"[1002,1000]",30,1,
1808,8,18,60,0,"[2007,20]",0,"[2008,20]",30,1,
1809,9,18,60,0,"[1003,30]",0,"[11001,1]",30,1,
1810,10,18,60,0,"[1002,500]",3,[1],30,0,
1811,11,18,60,0,"[1001,10]",0,"[1001,50]",30,1,
1812,12,18,60,0,"[1003,50]",0,"[1003,200]",30,1,
1813,13,18,80,0,"[1002,500]",0,"[1002,2000]",30,1,
1814,14,18,80,0,"[2100,5]",0,"[2100,10]",30,1,
1815,15,18,80,0,"[1002,500]",6,[24036],30,0,
1816,16,18,80,0,"[1003,50]",0,"[1003,200]",30,1,
1817,17,18,80,0,"[16000,5]",0,"[16000,25]",30,1,
1818,18,18,100,0,"[1001,10]",0,"[1001,50]",30,1,
1819,19,18,100,0,"[1002,500]",0,"[1002,2000]",30,1,
1820,20,18,100,0,"[1003,50]",0,"[1003,200]",30,1,
1821,21,18,100,0,"[2005,5]",0,"[2005,20]",30,1,
1822,22,18,120,0,"[42000,1]",0,"[42000,5]",30,1,
1823,23,18,120,0,"[1002,500]",8,"[60015,1]",30,0,
1824,24,18,120,0,"[1003,55]",0,"[11001,2]",30,1,
1825,25,18,200,0,"[1001,20]",0,"[1001,100]",30,1,
1826,26,18,-1,0,"[1003,100]",0,"[1003,600]",30,1,
1827,999,18,-1,0,[],5,[80],30,0,
1900,0,19,40,0,"[1003,10]",7,"[92027,1]",30,0,
1901,1,19,40,0,"[1003,15]",0,"[1003,50]",30,1,
1902,2,19,40,0,"[1002,200]",1,[1],30,0,
1903,3,19,40,0,"[1003,15]",0,"[1003,50]",30,1,
1904,4,19,50,0,"[2006,5]",0,"[15000,20]",30,1,
1905,5,19,50,0,"[1002,200]",2,[10],30,0,
1906,6,19,50,0,"[1003,15]",0,"[1003,50]",30,1,
1907,7,19,50,0,"[1002,200]",0,"[1002,1000]",30,1,
1908,8,19,60,0,"[2007,20]",0,"[2008,20]",30,1,
1909,9,19,60,0,"[1003,30]",0,"[11001,1]",30,1,
1910,10,19,60,0,"[1002,500]",3,[1],30,0,
1911,11,19,60,0,"[1001,10]",0,"[1001,50]",30,1,
1912,12,19,60,0,"[1003,50]",0,"[1003,200]",30,1,
1913,13,19,80,0,"[1002,500]",0,"[1002,2000]",30,1,
1914,14,19,80,0,"[2100,5]",0,"[2100,10]",30,1,
1915,15,19,80,0,"[1002,500]",6,[24037],30,0,
1916,16,19,80,0,"[1003,50]",0,"[1003,200]",30,1,
1917,17,19,80,0,"[16000,5]",0,"[16000,25]",30,1,
1918,18,19,100,0,"[1001,10]",0,"[1001,50]",30,1,
1919,19,19,100,0,"[1002,500]",0,"[1002,2000]",30,1,
1920,20,19,100,0,"[1003,50]",0,"[1003,200]",30,1,
1921,21,19,100,0,"[2005,5]",0,"[2005,20]",30,1,
1922,22,19,120,0,"[42000,1]",0,"[42000,5]",30,1,
1923,23,19,120,0,"[1002,500]",8,"[60015,1]",30,0,
1924,24,19,120,0,"[1003,55]",0,"[11001,2]",30,1,
1925,25,19,200,0,"[1001,20]",0,"[1001,100]",30,1,
1926,26,19,-1,0,"[1003,100]",0,"[1003,600]",30,1,
1927,999,19,-1,0,[],5,[80],30,0,
2000,0,20,40,0,"[1003,10]",7,"[92028,1]",30,0,
2001,1,20,40,0,"[1003,15]",0,"[1003,50]",30,1,
2002,2,20,40,0,"[1002,200]",1,[1],30,0,
2003,3,20,40,0,"[1003,15]",0,"[1003,50]",30,1,
2004,4,20,50,0,"[2006,5]",0,"[15000,20]",30,1,
2005,5,20,50,0,"[1002,200]",2,[10],30,0,
2006,6,20,50,0,"[1003,15]",0,"[1003,50]",30,1,
2007,7,20,50,0,"[1002,200]",0,"[1002,1000]",30,1,
2008,8,20,60,0,"[2007,20]",0,"[2008,20]",30,1,
2009,9,20,60,0,"[1003,30]",0,"[11001,1]",30,1,
2010,10,20,60,0,"[1002,500]",3,[1],30,0,
2011,11,20,60,0,"[1001,10]",0,"[1001,50]",30,1,
2012,12,20,60,0,"[1003,50]",0,"[1003,200]",30,1,
2013,13,20,80,0,"[1002,500]",0,"[1002,2000]",30,1,
2014,14,20,80,0,"[2100,5]",0,"[2100,10]",30,1,
2015,15,20,80,0,"[1002,500]",6,[24038],30,0,
2016,16,20,80,0,"[1003,50]",0,"[1003,200]",30,1,
2017,17,20,80,0,"[16000,5]",0,"[16000,25]",30,1,
2018,18,20,100,0,"[1001,10]",0,"[1001,50]",30,1,
2019,19,20,100,0,"[1002,500]",0,"[1002,2000]",30,1,
2020,20,20,100,0,"[1003,50]",0,"[1003,200]",30,1,
2021,21,20,100,0,"[2005,5]",0,"[2005,20]",30,1,
2022,22,20,120,0,"[42000,1]",0,"[42000,5]",30,1,
2023,23,20,120,0,"[1002,500]",8,"[60015,1]",30,0,
2024,24,20,120,0,"[1003,55]",0,"[11001,2]",30,1,
2025,25,20,200,0,"[1001,20]",0,"[1001,100]",30,1,
2026,26,20,-1,0,"[1003,100]",0,"[1003,600]",30,1,
2027,999,20,-1,0,[],5,[80],30,0,
2100,0,21,40,0,"[1003,10]",7,"[92029,1]",30,0,
2101,1,21,40,0,"[1003,15]",0,"[1003,50]",30,1,
2102,2,21,40,0,"[1002,200]",1,[1],30,0,
2103,3,21,40,0,"[1003,15]",0,"[1003,50]",30,1,
2104,4,21,50,0,"[2006,5]",0,"[15000,20]",30,1,
2105,5,21,50,0,"[1002,200]",2,[10],30,0,
2106,6,21,50,0,"[1003,15]",0,"[1003,50]",30,1,
2107,7,21,50,0,"[1002,200]",0,"[1002,1000]",30,1,
2108,8,21,60,0,"[2007,20]",0,"[2008,20]",30,1,
2109,9,21,60,0,"[1003,30]",0,"[11001,1]",30,1,
2110,10,21,60,0,"[1002,500]",3,[1],30,0,
2111,11,21,60,0,"[1001,10]",0,"[1001,50]",30,1,
2112,12,21,60,0,"[1003,50]",0,"[1003,200]",30,1,
2113,13,21,80,0,"[1002,500]",0,"[1002,2000]",30,1,
2114,14,21,80,0,"[2100,5]",0,"[2100,10]",30,1,
2115,15,21,80,0,"[1002,500]",6,[24039],30,0,
2116,16,21,80,0,"[1003,50]",0,"[1003,200]",30,1,
2117,17,21,80,0,"[16000,5]",0,"[16000,25]",30,1,
2118,18,21,100,0,"[1001,10]",0,"[1001,50]",30,1,
2119,19,21,100,0,"[1002,500]",0,"[1002,2000]",30,1,
2120,20,21,100,0,"[1003,50]",0,"[1003,200]",30,1,
2121,21,21,100,0,"[2005,5]",0,"[2005,20]",30,1,
2122,22,21,120,0,"[42000,1]",0,"[42000,5]",30,1,
2123,23,21,120,0,"[1002,500]",8,"[60015,1]",30,0,
2124,24,21,120,0,"[1003,55]",0,"[11001,2]",30,1,
2125,25,21,200,0,"[1001,20]",0,"[1001,100]",30,1,
2126,26,21,-1,0,"[1003,100]",0,"[1003,600]",30,1,
2127,999,21,-1,0,[],5,[80],30,0,
