id,exp,energy,energyMakeUp,levelUpReward,timeOrderNum,timeOrderItem_1,timeOrderItem_2,timeOrderItem_3,timeOrderTimeMin,timeOrderTimeMax,timeOrderHome,timeOrderReward,dragonHelpNum,dragonSkillNumDay,dragonSceneNum,partnerLevelLimit,goldOrderrReward_Exp,dailyMissionExp,goldOrderReward,
49,177300,98,"[23,25,100]","[[1001,3],[1002,650],[1003,75]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[139,139,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,404,[177],"[2100,2]",
50,202000,99,"[23,25,100]","[[1001,3],[1002,650],[1003,75]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[146,146,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,406,[178],"[2100,2]",
51,223000,100,"[23,25,100]","[[1001,3],[1002,650],[1003,75]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[146,146,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,407,[178],"[2100,2]",
52,244000,101,"[23,25,100]","[[1001,3],[1002,650],[1003,75]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[146,146,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,409,[179],"[2100,2]",
53,265000,102,"[23,25,100]","[[1001,3],[1002,650],[1003,75]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[146,146,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,410,[179],"[2100,2]",
54,286000,103,"[23,25,100]","[[1001,3],[1002,650],[1003,75]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[146,146,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,411,[180],"[2100,2]",
55,307000,104,"[23,25,100]","[[1001,3],[1002,650],[1003,75]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[146,146,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,412,[181],"[2100,2]",
56,328000,105,"[23,25,100]","[[1001,3],[1002,650],[1003,75]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[146,146,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,413,[181],"[2100,2]",
57,349000,106,"[23,25,100]","[[1001,3],[1002,650],[1003,75]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[146,146,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,414,[181],"[2100,2]",
58,370000,107,"[23,25,100]","[[1001,3],[1002,650],[1003,75]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[146,146,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,414,[182],"[2100,2]",
59,391000,108,"[23,25,100]","[[1001,3],[1002,650],[1003,75]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[146,146,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,415,[182],"[2100,2]",
