id,level,floor,cells1,cells2,cells3,cells4,cells5,
207,27,9,"[-1,-1,-1,1003,-1,1005,1008,-1,1006,-1,-1,-1]","[-1,-1,-1,-1,1007,1004,1002,1007,-1,-1,-1,-1]","[-1,-1,-1,-1,1008,1003,1007,1001,-1,-1,-1,-1]","[-1,-1,-1,1008,-1,1005,1007,-1,1004,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
208,27,10,"[-1,-1,1008,1002,-1,1005,-1,1005,1003,-1,-1,-1]","[-1,-1,1004,1002,1003,1007,1005,1008,1008,-1,-1,-1]","[-1,-1,-1,1007,-1,1008,-1,1008,-1,-1,-1,-1]","[-1,-1,1002,1005,1008,1002,1007,1007,1004,-1,-1,-1]","[-1,-1,1002,1002,-1,1005,-1,1004,-1,-1,-1,-1]",
209,27,11,"[-1,-1,-1,1006,-1,1003,-1,-1,1008,-1,-1,-1]","[-1,-1,-1,1005,-1,1001,1003,1001,1003,-1,-1,-1]","[-1,-1,-1,1004,1005,-1,1004,1001,1001,-1,-1,-1]","[-1,-1,-1,1007,-1,1007,1008,-1,1002,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
210,27,12,"[-1,-1,1004,1005,-1,1001,-1,1006,1003,-1,-1,-1]","[-1,-1,1005,1007,-1,1008,-1,1002,1007,-1,-1,-1]","[-1,-1,1004,1001,1001,1007,1005,1007,1003,-1,-1,-1]","[-1,-1,1003,1005,-1,1005,-1,1005,1004,-1,-1,-1]","[-1,-1,1002,1001,-1,1002,-1,1006,1008,-1,-1,-1]",
211,27,13,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
212,27,14,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1013,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
213,27,15,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1005,1009,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1011,1010,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
214,27,16,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1011,-1,1011,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1013,-1,1013,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1009,-1,1015,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
215,27,17,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1009,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
216,27,18,"[-1,-1,-1,-1,1002,-1,-1,1009,-1,-1,-1,-1]","[-1,-1,-1,-1,1002,-1,-1,1010,-1,-1,-1,-1]","[-1,-1,-1,-1,1010,1013,-1,1009,-1,-1,-1,-1]","[-1,-1,-1,-1,1015,-1,-1,1010,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
217,27,19,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1011,1013,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1011,1015,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
218,27,20,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1010,-1,1005,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1013,-1,1011,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1009,-1,1010,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
219,27,21,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1009,-1,-1,1013,-1,-1,-1,-1,-1]","[-1,-1,-1,1010,-1,-1,1005,-1,-1,-1,-1,-1]","[-1,-1,-1,1013,-1,-1,1011,-1,-1,-1,-1,-1]","[-1,-1,-1,1013,-1,-1,1011,-1,-1,-1,-1,-1]",
220,27,22,"[-1,-1,-1,1009,-1,-1,-1,1005,-1,-1,-1,-1]","[-1,-1,-1,1010,-1,-1,-1,1003,-1,-1,-1,-1]","[-1,-1,-1,1011,-1,-1,-1,1009,-1,-1,-1,-1]","[-1,-1,-1,1015,-1,-1,-1,1011,-1,-1,-1,-1]","[-1,-1,-1,1002,-1,-1,-1,1011,-1,-1,-1,-1]",
221,27,23,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1015,-1,-1,-1,-1,1015,-1,-1,-1,-1]","[-1,-1,1010,-1,-1,-1,-1,1003,-1,-1,-1,-1]","[-1,-1,1005,-1,-1,-1,-1,1003,-1,-1,-1,-1]","[-1,-1,1011,-1,-1,-1,-1,1005,-1,-1,-1,-1]",
222,28,1,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,1019,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
223,28,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1005,-1,-1,1017,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1017,1021,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1008,1005,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1013,-1,-1,1011,-1,-1,-1,-1]",
224,28,3,"[-1,-1,-1,-1,-1,1020,-1,1016,-1,-1,-1,-1]","[-1,-1,-1,-1,1021,1016,1017,1001,1017,-1,-1,-1]","[-1,-1,1021,1028,-1,-1,1022,-1,-1,1013,1005,-1]","[-1,-1,-1,-1,1001,-1,-1,-1,1011,-1,-1,-1]","[-1,-1,-1,-1,-1,1020,-1,1020,-1,-1,-1,-1]",
225,28,4,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1008,1015,1028,1008,-1,-1,-1,-1]","[-1,-1,-1,1005,-1,-1,-1,-1,1022,-1,-1,-1]","[-1,-1,-1,1012,-1,-1,-1,-1,1012,-1,-1,-1]","[-1,-1,-1,-1,1016,1017,1001,1002,-1,-1,-1,-1]",
226,28,5,"[-1,-1,-1,-1,-1,1008,1001,1018,-1,-1,-1,-1]","[-1,-1,-1,-1,1005,1017,1021,1012,1019,-1,-1,-1]","[-1,-1,-1,1011,1001,1002,1019,1001,1015,1017,-1,-1]","[-1,-1,-1,-1,1012,-1,1005,-1,1001,-1,-1,-1]","[-1,-1,-1,-1,-1,1021,1013,1002,-1,-1,-1,-1]",
227,28,6,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1001,1016,1017,1022,-1,-1,-1,-1]","[-1,-1,-1,-1,1001,-1,-1,1003,-1,-1,-1,-1]","[-1,-1,-1,-1,1017,-1,-1,1001,-1,-1,-1,-1]","[-1,-1,-1,-1,1020,1020,1012,1017,-1,-1,-1,-1]",
228,28,7,"[-1,-1,-1,-1,-1,1012,1008,1028,-1,-1,-1,-1]","[-1,-1,-1,-1,1006,1017,1016,1017,1003,-1,-1,-1]","[-1,-1,-1,-1,1001,-1,-1,-1,1028,-1,-1,-1]","[-1,-1,-1,-1,1011,-1,1017,-1,1001,-1,-1,-1]","[-1,-1,-1,-1,-1,1008,1021,1001,-1,-1,-1,-1]",
229,28,8,"[-1,-1,-1,-1,1006,-1,-1,1017,-1,-1,-1,-1]","[-1,-1,-1,1011,1008,1012,1020,1001,1018,-1,-1,-1]","[-1,-1,-1,1017,1007,-1,-1,1011,1001,-1,-1,-1]","[-1,-1,-1,1008,1020,-1,-1,1002,1011,-1,-1,-1]","[-1,-1,-1,1018,1015,1013,1001,1019,1001,-1,-1,-1]",
230,28,9,"[-1,-1,-1,1019,1028,1013,-1,1006,1015,1020,-1,-1]","[-1,-1,-1,1016,1011,1020,-1,1008,1017,1016,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1011,1017,1012,-1,1028,1008,1016,-1,-1]","[-1,-1,-1,1012,1005,-1,-1,-1,1011,1008,-1,-1]",
231,28,10,"[-1,-1,1007,1028,-1,1005,1020,-1,1017,1003,-1,-1]","[-1,-1,1007,1017,-1,1019,1016,-1,1015,1020,-1,-1]","[-1,-1,1028,-1,1001,-1,-1,1002,-1,1017,-1,-1]","[-1,-1,1008,-1,1028,-1,-1,1011,-1,1017,-1,-1]","[-1,-1,1015,1011,-1,1013,1020,-1,1002,1005,-1,-1]",
232,29,1,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1005,1012,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1020,1007,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1014,1003,-1,-1,-1,-1,-1]",
233,29,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1013,1004,1011,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1013,1017,1005,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1015,-1,-1,-1,-1,-1,-1]",
234,29,3,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1009,-1,-1,1009,-1,-1,-1,-1]","[-1,-1,-1,-1,1012,1012,1001,1003,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1013,1017,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1012,1007,-1,-1,-1,-1,-1]",
235,29,4,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1007,1014,1004,1002,1005,-1,-1,-1,-1]","[-1,-1,-1,1012,1004,1020,1012,1020,-1,-1,-1,-1]","[-1,-1,-1,-1,1017,1003,1011,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1014,-1,-1,-1,-1,-1,-1]",
236,29,5,"[-1,-1,-1,-1,1013,-1,-1,1010,-1,-1,-1,-1]","[-1,-1,-1,1011,1012,1002,1008,1013,1008,-1,-1,-1]","[-1,-1,-1,1003,1020,1014,1011,1001,1005,-1,-1,-1]","[-1,-1,-1,-1,-1,1005,1007,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1006,1006,-1,-1,-1,-1,-1]",
237,29,6,"[-1,-1,-1,1015,-1,-1,-1,1020,-1,-1,-1,-1]","[-1,-1,1005,1006,1012,1012,1009,1003,1011,-1,-1,-1]","[-1,-1,-1,1012,1003,1003,1006,1006,-1,-1,-1,-1]","[-1,-1,-1,-1,1001,1003,1011,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1012,-1,-1,-1,-1,-1,-1]",
238,29,7,"[-1,-1,-1,1014,1011,-1,-1,1008,1007,-1,-1,-1]","[-1,-1,1011,1005,1011,1011,1007,1002,1004,1016,-1,-1]","[-1,-1,1014,1003,1016,1015,1004,1006,1004,1001,-1,-1]","[-1,-1,-1,1002,1001,1010,1008,1005,1003,-1,-1,-1]","[-1,-1,-1,-1,1001,1005,1012,1008,-1,-1,-1,-1]",
239,29,8,"[-1,-1,1008,1011,1001,1011,1010,1013,1006,-1,-1,-1]","[-1,1014,1002,1011,1012,1003,1014,1012,1006,1005,-1,-1]","[-1,-1,1008,1015,1003,1018,1002,1018,1005,-1,-1,-1]","[-1,-1,-1,1004,1012,1020,1006,1014,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1015,-1,-1,-1,-1,-1,-1]",
240,29,9,"[-1,-1,-1,1012,1002,-1,-1,1009,1002,-1,-1,-1]","[-1,-1,1008,1001,1004,1012,1010,1001,1005,1008,-1,-1]","[-1,-1,1004,1007,1018,1011,1011,1019,1002,1010,-1,-1]","[-1,-1,-1,1007,1010,1019,1015,1019,1009,-1,-1,-1]","[-1,-1,-1,-1,1009,1007,1016,1012,-1,-1,-1,-1]",
241,30,1,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1002,1002,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1008,1008,-1,-1,-1,-1,-1]","[-1,-1,-1,1001,-1,-1,-1,-1,1003,-1,-1,-1]",
242,30,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1003,-1,-1,-1,-1,-1,-1]","[-1,-1,1008,-1,-1,-1,-1,-1,1002,-1,-1,-1]",
243,30,3,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1001,-1,1005,1008,-1,1002,-1,-1,-1]","[-1,-1,-1,-1,-1,1008,1005,-1,-1,-1,-1,-1]","[-1,-1,-1,1003,-1,-1,-1,-1,1001,-1,-1,-1]",
244,30,4,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1006,-1,-1,1001,-1,-1,1008,-1,-1,-1]","[-1,-1,-1,-1,-1,1002,-1,-1,-1,-1,-1,-2]","[-1,-1,1010,-1,-1,1010,-1,-1,1011,-1,-1,-2]",
245,30,5,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1013,-1,-1,-1,-1,1016,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1012,-1,-1,-1,-1,1014,-1,-1,-1]",
246,30,6,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1016,-1,1013,-1,1016,-1,1016,-1,-1,-1]","[-1,-1,-1,-1,1011,1006,1016,-1,-1,-1,-1,-1]","[-1,-1,1012,-1,1016,-1,1014,-1,1013,-1,-1,-1]",
247,30,7,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1014,-1,-1,-1,-1,1010,-1,-1,-1]","[-1,-1,-1,-1,1012,1008,1002,1014,-1,-1,-1,-5]","[-1,-1,-1,1013,-1,-1,-1,-1,1012,-1,-1,-5]",
248,30,8,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1002,-1,1006,-1,1002,-1,1002,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1020,-1,1005,-1,1006,-1,1014,-1,-1,-6]",
249,30,9,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1011,-1,1003,1003,-1,1002,-1,-1,-1]","[-1,-1,-1,-1,-1,1003,1001,-1,-1,-1,-1,-7]","[-1,-1,-1,1020,-1,1006,1003,-1,1016,-1,-1,-7]",
250,30,10,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1002,-1,1010,-1,1008,-1,1002,-1,-1,-1]","[-1,-1,-1,-1,1008,-1,1010,-1,-1,-1,-1,-1]","[-1,-1,1012,-1,-1,1001,-1,-1,1013,-1,-1,-8]",
251,30,11,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1016,-1,1011,1010,-1,1020,-1,-1,-1]","[-1,-1,-1,-1,-1,1013,1013,-1,-1,-1,-1,-1]","[-1,-1,-1,1014,-1,-1,-1,-1,1001,-1,-1,-9]",
252,30,12,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1001,-1,1005,-1,1012,-1,1012,-1,-1,-1]","[-1,-1,-1,-1,-1,1003,-1,-1,-1,-1,-1,-10]","[-1,-1,1012,-1,1003,1006,1005,-1,1013,-1,-1,-10]",
253,30,13,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1016,-1,1014,1014,-1,1012,-1,-1,-1]","[-1,-1,-1,-1,1014,1014,1014,1014,-1,-1,-1,-11]","[-1,-1,-1,1011,-1,1013,1005,-1,1002,-1,-1,-11]",
254,30,14,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1010,-1,1016,-1,1011,-1,1011,-1,-1,-1]","[-1,-1,-1,-1,-1,1011,-1,-1,-1,-1,-1,-12]","[-1,-1,1010,-1,1011,-1,1016,-1,1010,-1,-1,-12]",
255,30,15,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1016,-1,1016,1002,-1,1002,-1,-1,-1]","[-1,-1,-1,-1,-1,1016,1020,-1,-1,-1,-1,-1]","[-1,-1,-1,1002,-1,1020,1001,-1,1020,-1,-1,-13]",
256,30,16,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1016,-1,-1,1002,-1,-1,1020,-1,-1,-1]","[-1,-1,-1,-1,1001,1002,1020,-1,-1,-1,-1,-14]","[-1,-1,1001,-1,-1,1020,-1,-1,1001,-1,-1,-14]",
257,30,17,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1009,1013,1006,1018,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
258,30,18,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1002,-1,1002,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1015,-1,1006,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1038,-1,1002,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
259,30,19,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1006,1009,1009,1027,-1,-1,-1,-1]","[-1,-1,-1,-1,1002,-1,-1,1009,-1,-1,-1,-1]","[-1,-1,-1,-1,1002,1007,1006,1015,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
260,30,20,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1020,1006,1002,1019,1013,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1027,1029,1006,1009,1008,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
261,30,21,"[-1,-1,-1,1015,1020,-1,-1,1027,1038,-1,-1,-1]","[-1,-1,-1,-1,1006,-1,-1,1009,-1,-1,-1,-1]","[-1,-1,-1,-1,1012,-1,-1,1020,-1,-1,-1,-1]","[-1,-1,-1,1015,1007,1029,1008,1012,1019,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
262,30,22,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1008,-1,1029,-1,1002,-1,1008,-1,-1,-1]","[-1,-1,1013,-1,1039,-1,1006,-1,1002,-1,-1,-1]","[-1,-1,1018,-1,1018,-1,1039,-1,1020,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
263,30,23,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1002,1002,1020,-1,-1,1018,1038,1006,-1,-1]","[-1,-1,1018,1007,1018,1039,1038,1013,1012,1013,-1,-1]","[-1,-1,-1,1002,1007,-1,-1,1015,1013,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
264,30,24,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,1010,1039,1009,1007,1008,1029,1007,1020,1002,-1,-1]","[-1,1008,-1,1018,1038,-1,1013,1039,-1,1020,-1,-1]","[-1,1018,-1,1038,-1,1008,-1,1029,-1,1038,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
265,30,25,"[-1,-1,1018,1002,1013,1009,1002,1020,1010,1002,-1,-1]","[-1,-1,1009,-1,1020,-1,-1,1008,-1,1013,-1,-1]","[-1,-1,1006,-1,1029,-1,-1,1010,-1,1029,-1,-1]","[-1,-1,1038,1008,1038,1009,1018,1008,1002,1002,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
266,30,26,"[-1,-1,-1,1008,1019,1029,1039,1038,-1,-1,-1,-1]","[-1,-1,1006,1002,1029,-1,1029,1012,1018,-1,-1,-1]","[-1,-1,1008,1009,-1,-1,-1,1006,1002,-1,-1,-1]","[-1,-1,1018,1038,1012,-1,1002,1012,1002,-1,-1,-1]","[-1,-1,-1,1029,1009,1029,1015,1038,-1,-1,-1,-1]",
267,31,1,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1020,1015,1018,1016,1019,-1,-1,-1]","[-1,-1,-1,-1,1014,1013,1016,1014,1017,-1,-1,-1]","[-1,-1,-1,-1,1017,1021,1013,1021,1015,-1,-1,-1]","[-1,-1,-1,-1,1019,1016,1018,1013,1020,-1,-1,-1]",
268,31,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1009,1002,1003,1002,1016,1005,1007,1011,-1,-1]","[-1,-1,1008,1007,1016,1014,1002,1008,1016,1015,-1,-1]","[-1,-1,1010,1006,1003,-1,1017,-1,1006,1010,-1,-1]","[-1,-1,1011,1019,1007,1005,1003,1018,1009,1016,-1,-1]",
269,31,3,"[-1,-1,1018,1008,1012,1020,1014,1006,1012,1001,1008,-1]","[-1,-1,1013,1015,1011,1007,1011,1017,1013,1007,1015,-1]","[-1,-1,1011,1017,1006,1016,1008,1011,1015,1006,1017,-1]","[-1,-1,-1,1007,1014,1013,1020,1012,1008,1014,-1,-1]","[-1,-1,-1,1001,1019,1005,1010,1006,1018,1019,-1,-1]",
270,31,4,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1002,1010,1017,1005,1021,1015,1001,1004,-1,-1]","[-1,-1,1009,-1,-1,-1,1016,-1,-1,1002,-1,-1]","[-1,-1,1003,1002,1001,-1,1003,-1,1017,1001,-1,-1]","[-1,-1,1004,1015,1017,1005,1016,1001,1010,1003,-1,-1]",
271,31,5,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1014,1004,1019,1005,1011,-1,-1,-1]","[-1,-1,-1,-1,1012,1004,-1,1020,1013,-1,-1,-1]","[-1,-1,-1,-1,1013,1010,1011,1021,1010,-1,-1,-1]","[-1,-1,-1,-1,1015,1016,1021,1014,1012,-1,-1,-1]",
272,31,6,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1008,1001,1014,1002,1005,1010,1002,1007,-1,-1]","[-1,-1,1006,1018,-1,-1,-1,-1,1016,1004,-1,-1]","[-1,-1,1011,1010,1005,-1,1008,-1,1020,1006,-1,-1]","[-1,-1,1012,1007,1001,1004,1010,1002,1001,1016,-1,-1]",
273,31,7,"[-1,-1,1008,1016,1021,1014,1009,1017,1011,1013,1019,-1]","[-1,-1,1019,1012,-1,-1,-1,-1,-1,1012,1016,-1]","[-1,-1,1011,1017,-1,1015,1013,1012,-1,1010,1015,-1]","[-1,-1,1005,1009,-1,1019,-1,1007,-1,1013,1017,-1]","[-1,-1,1015,1013,1014,1011,-1,1010,1014,1009,1006,-1]",
274,32,1,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1008,-1,-1,1007,-1,-1,-1,-1]","[-1,-1,-1,-1,1007,-1,-1,1005,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
275,32,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1015,1002,1006,1015,1013,-1,-1,-1,-1]","[-1,-1,-1,-1,1002,1008,1015,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1009,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
276,32,3,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1008,1010,1012,1005,1007,1012,-1,-1,-1]","[-1,-1,-1,-1,1005,1011,1013,1014,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1008,1005,1013,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
